PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"26011282","Inward Leakage Variability between Respirator Fit Test Panels - Part I. Deterministic Approach","Zhuang Z, Liu Y, Coffey CC, Miller C, Szalajda J.","J Occup Environ Hyg. 2015;12(11):753-60. doi: 10.1080/15459624.2015.1047025.","Zhuang Z","J Occup Environ Hyg","2015","2015/05/27","PMC4664190","NIHMS738697","10.1080/15459624.2015.1047025"
"21550691","Surgical smoke and the dermatologist","Lewin JM, Brauer JA, Ostad A.","J Am Acad Dermatol. 2011 Sep;65(3):636-641. doi: 10.1016/j.jaad.2010.11.017. Epub 2011 May 7.","Lewin JM","J Am Acad Dermatol","2011","2011/05/10","","","10.1016/j.jaad.2010.11.017"
"30184826","Antiviral activity of multifunctional composite based on TiO(2)-modified hydroxyapatite","Monmaturapoj N, Sri-On A, Klinsukhon W, Boonnak K, Prahsarn C.","Mater Sci Eng C Mater Biol Appl. 2018 Nov 1;92:96-102. doi: 10.1016/j.msec.2018.06.045. Epub 2018 Jun 19.","Monmaturapoj N","Mater Sci Eng C Mater Biol Appl","2018","2018/09/07","","","10.1016/j.msec.2018.06.045"
"18461735","The hazards of surgical smoke","Ulmer BC.","AORN J. 2008 Apr;87(4):721-34; quiz 735-8. doi: 10.1016/j.aorn.2007.10.012.","Ulmer BC","AORN J","2008","2008/05/09","","","10.1016/j.aorn.2007.10.012"
"20736113","Quantifying exposure risk: surgical masks and respirators","Diaz KT, Smaldone GC.","Am J Infect Control. 2010 Sep;38(7):501-8. doi: 10.1016/j.ajic.2010.06.002.","Diaz KT","Am J Infect Control","2010","2010/08/26","","","10.1016/j.ajic.2010.06.002"
"26963561","Comparison of two quantitative fit-test methods using N95 filtering facepiece respirators","Sietsema M, Brosseau LM.","J Occup Environ Hyg. 2016 Aug;13(8):621-7. doi: 10.1080/15459624.2016.1159690.","Sietsema M","J Occup Environ Hyg","2016","2016/03/11","","","10.1080/15459624.2016.1159690"
"28751794","Crosslinking of floating colloidal monolayers","Kurzhals S, Süss M, Pejovic J, van Oostrum PDJ, Reimhult E, Zirbs R.","Monatsh Chem. 2017;148(8):1539-1546. doi: 10.1007/s00706-017-1997-6. Epub 2017 Jun 20.","Kurzhals S","Monatsh Chem","2017","2017/07/29","PMC5504139","","10.1007/s00706-017-1997-6"
"29463330","A Chemical-Biological-Radio-Nuclear (CBRN) Filter can be Added to the Air-Outflow Port of a Ventilator to Protect a Home Ventilated Patient From Inhalation of Toxic Industrial Compounds","Be'eri E, Owen S, Beeri M, Millis SR, Eisenkraft A.","Disaster Med Public Health Prep. 2018 Dec;12(6):739-743. doi: 10.1017/dmp.2018.3. Epub 2018 Feb 21.","Be'eri E","Disaster Med Public Health Prep","2018","2018/02/22","PMC7112992","","10.1017/dmp.2018.3"
"26954018","Inward leakage variability between respirator fit test panels - Part II. Probabilistic approach","Liu Y, Zhuang Z, Coffey CC, Rengasamy S, Niezgoda G.","J Occup Environ Hyg. 2016 Aug;13(8):604-11. doi: 10.1080/15459624.2016.1161198.","Liu Y","J Occup Environ Hyg","2016","2016/03/09","","","10.1080/15459624.2016.1161198"
"24408220","Epidemiology of dyslipidemia in chronic kidney disease","Iseki K.","Clin Exp Nephrol. 2014 Apr;18(2):185-8. doi: 10.1007/s10157-013-0891-8. Epub 2014 Jan 11.","Iseki K","Clin Exp Nephrol","2014","2014/01/11","","","10.1007/s10157-013-0891-8"
"3880608","Digital angiography: matched filtration versus mask-mode subtraction","Liu P, Kruger RA, Nelson JA, Miller FJ, Osborn AG, Wojtowycz M.","Radiology. 1985 Jan;154(1):217-20. doi: 10.1148/radiology.154.1.3880608.","Liu P","Radiology","1985","1985/01/01","","","10.1148/radiology.154.1.3880608"
"16060468","Efficacy of three face masks in preventing inhalation of airborne contaminants in dental practice","Checchi L, Montevecchi M, Moreschi A, Graziosi F, Taddei P, Violante FS.","J Am Dent Assoc. 2005 Jul;136(7):877-82. doi: 10.14219/jada.archive.2005.0288.","Checchi L","J Am Dent Assoc","2005","2005/08/03","PMC7093848","","10.14219/jada.archive.2005.0288"
"30115533","Assessing condition and ecological role of deep-water biogenic habitats: Glass sponge reefs in the Salish Sea","Dunham A, Archer SK, Davies SC, Burke LA, Mossman J, Pegg JR, Archer E.","Mar Environ Res. 2018 Oct;141:88-99. doi: 10.1016/j.marenvres.2018.08.002. Epub 2018 Aug 3.","Dunham A","Mar Environ Res","2018","2018/08/18","","","10.1016/j.marenvres.2018.08.002"
"21292731","Total inward leakage of nanoparticles through filtering facepiece respirators","Rengasamy S, Eimer BC.","Ann Occup Hyg. 2011 Apr;55(3):253-63. doi: 10.1093/annhyg/meq096. Epub 2011 Feb 3.","Rengasamy S","Ann Occup Hyg","2011","2011/02/05","","","10.1093/annhyg/meq096"
"30960884","Preparation of Polypropylene Micro and Nanofibers by Electrostatic-Assisted Melt Blown and Their Application","Pu Y, Zheng J, Chen F, Long Y, Wu H, Li Q, Yu S, Wang X, Ning X.","Polymers (Basel). 2018 Aug 29;10(9):959. doi: 10.3390/polym10090959.","Pu Y","Polymers (Basel)","2018","2019/04/10","PMC6403903","","10.3390/polym10090959"
"26231551","Resistance to synthetic blood penetration of National Institute for Occupational Safety and Health-approved N95 filtering facepiece respirators and surgical N95 respirators","Rengasamy S, Sbarra D, Nwoko J, Shaffer R.","Am J Infect Control. 2015 Nov;43(11):1190-6. doi: 10.1016/j.ajic.2015.06.014. Epub 2015 Jul 29.","Rengasamy S","Am J Infect Control","2015","2015/08/02","PMC4658509","NIHMS738659","10.1016/j.ajic.2015.06.014"
"30456954","Strengthened and Thermally Resistant Poly(lactic acid)-Based Composite Nanofibers Prepared via Easy Stereocomplexation with Antibacterial Effects","Mei L, Ren Y, Gu Y, Li X, Wang C, Du Y, Fan R, Gao X, Chen H, Tong A, Zhou L, Guo G.","ACS Appl Mater Interfaces. 2018 Dec 12;10(49):42992-43002. doi: 10.1021/acsami.8b14841. Epub 2018 Dec 3.","Mei L","ACS Appl Mater Interfaces","2018","2018/11/21","","","10.1021/acsami.8b14841"
"23571366","Challenge of N95 filtering facepiece respirators with viable H1N1 influenza aerosols","Harnish DA, Heimbuch BK, Husband M, Lumley AE, Kinney K, Shaffer RE, Wander JD.","Infect Control Hosp Epidemiol. 2013 May;34(5):494-9. doi: 10.1086/670225.","Harnish DA","Infect Control Hosp Epidemiol","2013","2013/04/11","PMC4646082","NIHMS730655","10.1086/670225"
"29781773","A comparison of total inward leakage measured using sodium chloride (NaCl) and corn oil aerosol methods for air-purifying respirators","Rengasamy S, Zhuang Z, Niezgoda G, Walbert G, Lawrence R, Boutin B, Hudnall J, Monaghan WP, Bergman M, Miller C, Harris J, Coffey C.","J Occup Environ Hyg. 2018 Aug;15(8):616-627. doi: 10.1080/15459624.2018.1479064.","Rengasamy S","J Occup Environ Hyg","2018","2018/05/22","PMC6198249","NIHMS991585","10.1080/15459624.2018.1479064"
"13951516","Respiratory protection provided by five new contagion masks","GUYTON HG, DECKER HM.","Appl Microbiol. 1963 Jan;11(1):66-8.","GUYTON HG","Appl Microbiol","1963","1963/01/01","PMC1057940","",""
"20592763","A novel anti-influenza copper oxide containing respiratory face mask","Borkow G, Zhou SS, Page T, Gabbay J.","PLoS One. 2010 Jun 25;5(6):e11295. doi: 10.1371/journal.pone.0011295.","Borkow G","PLoS One","2010","2010/07/02","PMC2892464","","10.1371/journal.pone.0011295"
"29343206","Line-Enhanced Deformable Registration of Pulmonary Computed Tomography Images Before and After Radiation Therapy With Radiation-Induced Fibrosis","King M, Sensakovic WF, Maxim P, Diehn M, Loo BW, Xing L.","Technol Cancer Res Treat. 2018 Jan 1;17:1533034617749419. doi: 10.1177/1533034617749419.","King M","Technol Cancer Res Treat","2018","2018/01/19","PMC5784562","","10.1177/1533034617749419"
"29977673","Nanoporous silicon nitride-based membranes of controlled pore size, shape and areal density: Fabrication as well as electrophoretic and molecular filtering characterization","Seidenstücker A, Beirle S, Enderle F, Ziemann P, Marti O, Plettl A.","Beilstein J Nanotechnol. 2018 May 9;9:1390-1398. doi: 10.3762/bjnano.9.131. eCollection 2018.","Seidenstücker A","Beilstein J Nanotechnol","2018","2018/07/07","PMC6009373","","10.3762/bjnano.9.131"
"20215602","Surgical masks vs N95 respirators for preventing influenza","Bitar R.","JAMA. 2010 Mar 10;303(10):937; author reply 938-9. doi: 10.1001/jama.2010.193.","Bitar R","JAMA","2010","2010/03/11","","","10.1001/jama.2010.193"
"23428060","Efficiency of different respiratory protective devices for removal of particulate and gaseous reactive oxygen species from welding fumes","Chen HL, Chung SH, Jhuo ML.","Arch Environ Occup Health. 2013;68(2):101-6. doi: 10.1080/19338244.2011.650799.","Chen HL","Arch Environ Occup Health","2013","2013/02/23","","","10.1080/19338244.2011.650799"
"30510401","A new strategy for taste masking of azithromycin antibiotic: development, characterization, and evaluation of azithromycin titanium nanohybrid for masking of bitter taste using physisorption and panel testing studies","Amin F, Khan S, Shah SMH, Rahim H, Hussain Z, Sohail M, Ullah R, Alsaid MS, Shahat AA.","Drug Des Devel Ther. 2018 Nov 8;12:3855-3866. doi: 10.2147/DDDT.S183534. eCollection 2018.","Amin F","Drug Des Devel Ther","2018","2018/12/05","PMC6231451","","10.2147/DDDT.S183534"
"8366665","Allergy to laboratory mice and rats: a review of its prevention, management, and treatment","Hunskaar S, Fosse RT.","Lab Anim. 1993 Jul;27(3):206-21. doi: 10.1258/002367793780745372.","Hunskaar S","Lab Anim","1993","1993/07/01","","","10.1258/002367793780745372"
"2597275","Face masks as protection from laser plume","Dickes J.","AORN J. 1989 Sep;50(3):520-2. doi: 10.1016/s0001-2092(07)62116-4.","Dickes J","AORN J","1989","1989/09/01","","","10.1016/s0001-2092(07)62116-4"
"16078155","[Infection control measures in anaesthesia]","Vonberg RP, Gastmeier P.","Anasthesiol Intensivmed Notfallmed Schmerzther. 2005 Aug;40(8):453-8. doi: 10.1055/s-2005-870100.","Vonberg RP","Anasthesiol Intensivmed Notfallmed Schmerzther","2005","2005/08/04","","","10.1055/s-2005-870100"
"15030697","Surgical helmets and SARS infection","Derrick JL, Gomersall CD.","Emerg Infect Dis. 2004 Feb;10(2):277-9. doi: 10.3201/eid1002.030764.","Derrick JL","Emerg Infect Dis","2004","2004/03/20","PMC3322924","","10.3201/eid1002.030764"
"32393346","Aerosol-generating otolaryngology procedures and the need for enhanced PPE during the COVID-19 pandemic: a literature review","Mick P, Murphy R.","J Otolaryngol Head Neck Surg. 2020 May 11;49(1):29. doi: 10.1186/s40463-020-00424-7.","Mick P","J Otolaryngol Head Neck Surg","2020","2020/05/13","PMC7212733","","10.1186/s40463-020-00424-7"
"21702121","[Filtration performance of dust respirators against nanoparticles]","Myojo T, Oyabu T, Ogami A, Morimoto Y, Nishi K, Kadoya C, Yamamoto M, Todoroki M, Mizuguchii Y, Lee BW, Hashiba M, Kambara T.","J UOEH. 2011 Jun 1;33(2):163-71. doi: 10.7888/juoeh.33.163.","Myojo T","J UOEH","2011","2011/06/28","","","10.7888/juoeh.33.163"
"21177265","Effect of fit testing on the protection offered by n95 filtering facepiece respirators against fine particles in a laboratory setting","Reponen T, Lee SA, Grinshpun SA, Johnson E, McKay R.","Ann Occup Hyg. 2011 Apr;55(3):264-71. doi: 10.1093/annhyg/meq085. Epub 2010 Dec 20.","Reponen T","Ann Occup Hyg","2011","2010/12/24","","","10.1093/annhyg/meq085"
"24107745","Total inward leakage measurement of particulates for N95 filtering facepiece respirators--a comparison study","Rengasamy S, Walbert GF, Newcomb WE, Faulkner K, Rengasamy MM, Brannen JJ, Szalajda JV.","Ann Occup Hyg. 2014 Mar;58(2):206-16. doi: 10.1093/annhyg/met054. Epub 2013 Oct 9.","Rengasamy S","Ann Occup Hyg","2014","2013/10/11","","","10.1093/annhyg/met054"
"32296937","Surgical smoke and the anesthesia provider","Swerdlow BN.","J Anesth. 2020 Apr 15. doi: 10.1007/s00540-020-02775-x. Online ahead of print.","Swerdlow BN","J Anesth","2020","2020/04/17","","","10.1007/s00540-020-02775-x"
"30268670","A paper-based chemiresistive biosensor employing single-walled carbon nanotubes for low-cost, point-of-care detection","Shen Y, Tran TT, Modha S, Tsutsui H, Mulchandani A.","Biosens Bioelectron. 2019 Apr 1;130:367-373. doi: 10.1016/j.bios.2018.09.041. Epub 2018 Sep 13.","Shen Y","Biosens Bioelectron","2019","2018/10/01","","","10.1016/j.bios.2018.09.041"
"9127565","Fitness of a gas mask for the face of a worker handling organic solvents","Tanaka S, Tanaka M, Kimura K, Nozaki K, Seki Y.","Ind Health. 1997 Apr;35(2):294-7. doi: 10.2486/indhealth.35.294.","Tanaka S","Ind Health","1997","1997/04/01","","","10.2486/indhealth.35.294"
"30716722","Surface functionalization of electrospun PAN nanofibers with ZnO-Ag heterostructure nanoparticles: synthesis and antibacterial study","Patel S, Konar M, Sahoo H, Hota G.","Nanotechnology. 2019 May 17;30(20):205704. doi: 10.1088/1361-6528/ab045d. Epub 2019 Feb 4.","Patel S","Nanotechnology","2019","2019/02/05","","","10.1088/1361-6528/ab045d"
"25683688","Transparent air filter for high-efficiency PM2.5 capture","Liu C, Hsu PC, Lee HW, Ye M, Zheng G, Liu N, Li W, Cui Y.","Nat Commun. 2015 Feb 16;6:6205. doi: 10.1038/ncomms7205.","Liu C","Nat Commun","2015","2015/02/17","","","10.1038/ncomms7205"
"24275016","A quantitative assessment of the total inward leakage of NaCl aerosol representing submicron-size bioaerosol through N95 filtering facepiece respirators and surgical masks","Rengasamy S, Eimer BC, Szalajda J.","J Occup Environ Hyg. 2014;11(6):388-96. doi: 10.1080/15459624.2013.866715.","Rengasamy S","J Occup Environ Hyg","2014","2013/11/27","PMC4589201","NIHMS709011","10.1080/15459624.2013.866715"
"26180261","Respirator Performance against Nanoparticles under Simulated Workplace Activities","Vo E, Zhuang Z, Horvatin M, Liu Y, He X, Rengasamy S.","Ann Occup Hyg. 2015 Oct;59(8):1012-21. doi: 10.1093/annhyg/mev042. Epub 2015 Jul 15.","Vo E","Ann Occup Hyg","2015","2015/07/17","PMC5504519","NIHMS862520","10.1093/annhyg/mev042"
"25275949","Blood pressure measurement under standardized indoor condition may mask seasonal blood pressure variation in men with mildly elevated blood pressure","Hattori T, Munakata M.","Clin Exp Hypertens. 2015;37(4):317-22. doi: 10.3109/10641963.2014.960975. Epub 2014 Oct 2.","Hattori T","Clin Exp Hypertens","2015","2014/10/03","","","10.3109/10641963.2014.960975"
"16381619","An investigation of nebulized bronchodilator delivery using a pediatric lung model of spontaneous breathing","Restrepo RD, Dickson SK, Rau JL, Gardenhire DS.","Respir Care. 2006 Jan;51(1):56-61.","Restrepo RD","Respir Care","2006","2005/12/31","","",""
"10853224","Leaking catheter mount swivels","Marshall A.","Anaesth Intensive Care. 2000 Jun;28(3):333-4.","Marshall A","Anaesth Intensive Care","2000","2000/06/15","","",""
"29430204","Whitefly predation and extensive mesonotum color polymorphism in an Acletoxenus population from Singapore (Diptera, Drosophilidae)","Jinfa W, Maosheng F, Tan HTW, Meier R.","Zookeys. 2017 Dec 29;(725):49-69. doi: 10.3897/zookeys.725.13675. eCollection 2017.","Jinfa W","Zookeys","2017","2018/02/13","PMC5806509","","10.3897/zookeys.725.13675"
"31511702","An assessment of energy expenditure of soldiers serving in the Polish chemical units, performing training tasks in 2 types of personal chemical protective clothing - comparative studies","Bertrandt J, Kłos A, Łakomy R, Bertrandt B.","Int J Occup Med Environ Health. 2019 Oct 16;32(5):645-652. doi: 10.13075/ijomeh.1896.01382. Epub 2019 Sep 10.","Bertrandt J","Int J Occup Med Environ Health","2019","2019/09/13","","","10.13075/ijomeh.1896.01382"
"12825151","Relation of pulmonary responses induced by 6.6-h exposures to 0.08 ppm ozone and 2-h exposures to 0.30 ppm ozone via chamber and face-mask inhalation","Adams WC.","Inhal Toxicol. 2003 Jul;15(8):745-59. doi: 10.1080/08958370390217828.","Adams WC","Inhal Toxicol","2003","2003/06/26","","","10.1080/08958370390217828"
"18287908","Effect of surgical masks worn concurrently over N95 filtering facepiece respirators: extended service life versus increased user burden","Roberge RJ.","J Public Health Manag Pract. 2008 Mar-Apr;14(2):E19-26. doi: 10.1097/01.PHH.0000311904.41691.fd.","Roberge RJ","J Public Health Manag Pract","2008","2008/02/22","","","10.1097/01.PHH.0000311904.41691.fd"
"19372178","The changing face of febrile neutropenia-from monotherapy to moulds to mucositis. Prevention of mould infections","Maschmeyer G.","J Antimicrob Chemother. 2009 May;63 Suppl 1:i27-30. doi: 10.1093/jac/dkp084.","Maschmeyer G","J Antimicrob Chemother","2009","2009/04/18","","","10.1093/jac/dkp084"
"16680385","Effect of respirators equipped with particle or particle-and-gas filters during exposure in a pig confinement building","Sundblad BM, Sahlander K, Ek A, Kumlin M, Olsson M, Larsson K, Palmberg L.","Scand J Work Environ Health. 2006 Apr;32(2):145-53. doi: 10.5271/sjweh.990.","Sundblad BM","Scand J Work Environ Health","2006","2006/05/09","","","10.5271/sjweh.990"
"19755446","Experimental evaluation of personal protection devices against graphite nanoaerosols: fibrous filter media, masks, protective clothing, and gloves","Golanski L, Guiot A, Rouillon F, Pocachard J, Tardif F.","Hum Exp Toxicol. 2009 Jun;28(6-7):353-9. doi: 10.1177/0960327109105157.","Golanski L","Hum Exp Toxicol","2009","2009/09/17","","","10.1177/0960327109105157"
"22813509","Maskumm facemask scent bonds Humid-Vent filters to facemasks","McKenzie A.","Anaesth Intensive Care. 2012 Jul;40(4):723.","McKenzie A","Anaesth Intensive Care","2012","2012/07/21","","",""
"1772126","Initial treatment of pulmonary edema: a physiological approach","Allison RC.","Am J Med Sci. 1991 Dec;302(6):385-91. doi: 10.1097/00000441-199112000-00013.","Allison RC","Am J Med Sci","1991","1991/12/01","","","10.1097/00000441-199112000-00013"
"14644372","[Choosing an endotracheal intubation set in paediatric anaesthesia]","Constant I.","Ann Fr Anesth Reanim. 2003 Dec;22(10):890-5. doi: 10.1016/j.annfar.2003.09.010.","Constant I","Ann Fr Anesth Reanim","2003","2003/12/04","","","10.1016/j.annfar.2003.09.010"
"17979130","Commentary on ""In vivo protective performance of N95 respirator and surgical facemask""","Brosseau LM, Harriman K.","Am J Ind Med. 2007 Dec;50(12):1025-6; author reply 1027-9. doi: 10.1002/ajim.20498.","Brosseau LM","Am J Ind Med","2007","2007/11/06","","","10.1002/ajim.20498"
"24059271","Normobaric hyperoxia preconditioning ameliorates cisplatin nephrotoxicity","Saadat A, Shariat Maghani SS, Rostami Z, Davoudi A, Davoudi F, Shafie A, Eynollahi B.","Ren Fail. 2014 Feb;36(1):5-8. doi: 10.3109/0886022X.2013.832604. Epub 2013 Sep 24.","Saadat A","Ren Fail","2014","2013/09/25","","","10.3109/0886022X.2013.832604"
"28401356","Development of novel nomograms to predict renal functional outcomes after laparoscopic adrenalectomy in patients with primary aldosteronism","Utsumi T, Kamiya N, Kaga M, Endo T, Yano M, Kamijima S, Kawamura K, Imamoto T, Ichikawa T, Suzuki H.","World J Urol. 2017 Oct;35(10):1577-1583. doi: 10.1007/s00345-017-2033-5. Epub 2017 Apr 11.","Utsumi T","World J Urol","2017","2017/04/13","","","10.1007/s00345-017-2033-5"
"27345749","The examination of problems experienced by nurses and doctors associated with exposure to surgical smoke and the necessary precautions","Ilce A, Yuzden GE, Yavuz van Giersbergen M.","J Clin Nurs. 2017 Jun;26(11-12):1555-1561. doi: 10.1111/jocn.13455. Epub 2017 Mar 20.","Ilce A","J Clin Nurs","2017","2016/06/28","","","10.1111/jocn.13455"
"9016740","The management of aircraft passenger survival in fire","Trimble EJ.","Toxicology. 1996 Dec 31;115(1-3):41-61. doi: 10.1016/s0300-483x(96)03494-4.","Trimble EJ","Toxicology","1996","1996/12/31","","","10.1016/s0300-483x(96)03494-4"
"22999371","Should we be concerned about composite (nano-)dust?","Van Landuyt KL, Yoshihara K, Geebelen B, Peumans M, Godderis L, Hoet P, Van Meerbeek B.","Dent Mater. 2012 Nov;28(11):1162-70. doi: 10.1016/j.dental.2012.08.011. Epub 2012 Sep 20.","Van Landuyt KL","Dent Mater","2012","2012/09/25","","","10.1016/j.dental.2012.08.011"
"27155911","[Extemporaneous withdrawal with a mini-spike filter: A low infection risk technique for drawing up bevacizumab for intravitreal injection]","Le Rouic JF, Breger D, Peronnet P, Hermouet-Leclair E, Alphandari A, Pousset-Decré C, Badat I, Becquet F.","J Fr Ophtalmol. 2016 May;39(5):415-20. doi: 10.1016/j.jfo.2016.01.007. Epub 2016 May 5.","Le Rouic JF","J Fr Ophtalmol","2016","2016/05/09","","","10.1016/j.jfo.2016.01.007"
"23952861","Reducing human exposure to Mycobacterium avium","Falkinham JO 3rd.","Ann Am Thorac Soc. 2013 Aug;10(4):378-82. doi: 10.1513/AnnalsATS.201301-013FR.","Falkinham JO 3rd","Ann Am Thorac Soc","2013","2013/08/20","","","10.1513/AnnalsATS.201301-013FR"
"28521802","Identification of chronic kidney disease patient characteristics influencing the renoprotective effects of febuxostat therapy: a retrospective follow-up study","Yamaguchi A, Harada M, Yamada Y, Hashimoto K, Kamijo Y.","BMC Nephrol. 2017 May 18;18(1):162. doi: 10.1186/s12882-017-0572-z.","Yamaguchi A","BMC Nephrol","2017","2017/05/20","PMC5437587","","10.1186/s12882-017-0572-z"
"27682903","Dynamic Radioactive Source for Evaluating and Demonstrating Time-dependent Performance of Continuous Air Monitors","McLean TD, Moore ME, Justus AL, Hudston JA, Barbé B.","Health Phys. 2016 Nov;111(5):442-50. doi: 10.1097/HP.0000000000000558.","McLean TD","Health Phys","2016","2016/09/30","","","10.1097/HP.0000000000000558"
"8239046","Aerosol penetration and leakage characteristics of masks used in the health care industry","Weber A, Willeke K, Marchioni R, Myojo T, McKay R, Donnelly J, Liebhaber F.","Am J Infect Control. 1993 Aug;21(4):167-73. doi: 10.1016/0196-6553(93)90027-2.","Weber A","Am J Infect Control","1993","1993/08/01","","","10.1016/0196-6553(93)90027-2"
"8060007","Evaluation of single-use masks and respirators for protection of health care workers against mycobacterial aerosols","Chen SK, Vesley D, Brosseau LM, Vincent JH.","Am J Infect Control. 1994 Apr;22(2):65-74. doi: 10.1016/0196-6553(94)90116-3.","Chen SK","Am J Infect Control","1994","1994/04/01","","","10.1016/0196-6553(94)90116-3"
"28320992","Right Ventricular Enlargement and Renal Function Are Associated With Smooth Introduction of Adaptive Servo-Ventilation Therapy in Chronic Heart Failure Patients","Iwasaku T, Okuhara Y, Eguchi A, Ando T, Naito Y, Masuyama T, Hirotani S.","Int Heart J. 2017 Apr 6;58(2):232-237. doi: 10.1536/ihj.16-173. Epub 2017 Mar 21.","Iwasaku T","Int Heart J","2017","2017/03/22","","","10.1536/ihj.16-173"
"31990929","A retrospective evaluation of the relationship between symmetric dimethylarginine, creatinine and body weight in hyperthyroid cats","Szlosek D, Robertson J, Quimby J, Mack R, Ogeer J, Clements C, McCrann DJ, Coyne MJ.","PLoS One. 2020 Jan 28;15(1):e0227964. doi: 10.1371/journal.pone.0227964. eCollection 2020.","Szlosek D","PLoS One","2020","2020/01/29","PMC6986741","","10.1371/journal.pone.0227964"
"16002179","Surgical smoke and infection control","Alp E, Bijl D, Bleichrodt RP, Hansson B, Voss A.","J Hosp Infect. 2006 Jan;62(1):1-5. doi: 10.1016/j.jhin.2005.01.014. Epub 2005 Jul 5.","Alp E","J Hosp Infect","2006","2005/07/09","","","10.1016/j.jhin.2005.01.014"
"18326869","Filter quality of pleated filter cartridges","Chen CW, Huang SH, Chiang CM, Hsiao TC, Chen CC.","Ann Occup Hyg. 2008 Apr;52(3):207-12. doi: 10.1093/annhyg/men008. Epub 2008 Mar 7.","Chen CW","Ann Occup Hyg","2008","2008/03/11","","","10.1093/annhyg/men008"
"6638854","The efficacy of face masks","Shah M, Crompton P, Vickers MD.","Ann R Coll Surg Engl. 1983 Nov;65(6):380-1.","Shah M","Ann R Coll Surg Engl","1983","1983/11/01","PMC2494432","",""
"23915331","Performance evaluation of selected n95 respirators and surgical masks when challenged with aerosolized endospores and inert particles","Davidson CS, Green CF, Gibbs SG, Schmid KK, Panlilio AL, Jensen PA, Scarpino PV.","J Occup Environ Hyg. 2013;10(9):461-7. doi: 10.1080/15459624.2013.818243.","Davidson CS","J Occup Environ Hyg","2013","2013/08/07","","","10.1080/15459624.2013.818243"
"31793872","Female gender and overestimation of glomerular filtration rate: Independent predictors of acute kidney injury after liver transplantation ","Tinti F, Melandro F, Umbro I, Fiacco F, Zavatto A, Ginanni Corradini S, Lai S, Berloco PB, Rossi M, Mitterhofer AP.","Clin Nephrol. 2020 Feb;93(2):92-98. doi: 10.5414/CN109899.","Tinti F","Clin Nephrol","2020","2019/12/04","","","10.5414/CN109899"
"4749815","Clean room operating rooms","Nelson JP, Glassburn AR Jr, Talbott RD, McElhinney JP.","Clin Orthop Relat Res. 1973 Oct;(96):179-87.","Nelson JP","Clin Orthop Relat Res","1973","1973/10/01","","",""
"21154104","Evaluation of nano- and submicron particle penetration through ten nonwoven fabrics using a wind-driven approach","Gao P, Jaques PA, Hsiao TC, Shepherd A, Eimer BC, Yang M, Miller A, Gupta B, Shaffer R.","J Occup Environ Hyg. 2011 Jan;8(1):13-22. doi: 10.1080/15459624.2010.515554.","Gao P","J Occup Environ Hyg","2011","2010/12/15","","","10.1080/15459624.2010.515554"
"29131857","Internal tissue references for 18Fluorodeoxyglucose vascular inflammation imaging: Implications for cardiovascular risk stratification and clinical trials","Ahlman MA, Vigneault DM, Sandfort V, Maass-Moreno R, Dave J, Sadek A, Mallek MB, Selwaness MAF, Herscovitch P, Mehta NN, Bluemke DA.","PLoS One. 2017 Nov 13;12(11):e0187995. doi: 10.1371/journal.pone.0187995. eCollection 2017.","Ahlman MA","PLoS One","2017","2017/11/14","PMC5683610","","10.1371/journal.pone.0187995"
"9284378","Using a mathematical model to evaluate the efficacy of TB control measures","Gammaitoni L, Nucci MC.","Emerg Infect Dis. 1997 Jul-Sep;3(3):335-42. doi: 10.3201/eid0303.970310.","Gammaitoni L","Emerg Infect Dis","1997","1997/07/01","PMC2627642","","10.3201/eid0303.970310"
"32315244","The Technique and Justification for Minimally Invasive Surgery in COVID-19 Pandemic: Laparoscopic Anterior Resection for Near Obstructed Rectal Carcinoma","Pawar T, Pokharkar A, Gori J, Pandey D, Rohila J, Dsouza A, Saklani A.","J Laparoendosc Adv Surg Tech A. 2020 May;30(5):485-487. doi: 10.1089/lap.2020.0241. Epub 2020 Apr 20.","Pawar T","J Laparoendosc Adv Surg Tech A","2020","2020/04/22","","","10.1089/lap.2020.0241"
"28793861","Viral and bacterial upper respiratory tract infection in hospital health care workers over time and association with symptoms","Raina MacIntyre C, Chughtai AA, Zhang Y, Seale H, Yang P, Chen J, Pan Y, Zhang D, Wang Q.","BMC Infect Dis. 2017 Aug 9;17(1):553. doi: 10.1186/s12879-017-2649-5.","Raina MacIntyre C","BMC Infect Dis","2017","2017/08/11","PMC5550936","","10.1186/s12879-017-2649-5"
"24757564","Early trends in cystatin C and outcomes in patients with cirrhosis and acute kidney injury","Belcher JM, Sanyal AJ, Garcia-Tsao G, Ansari N, Coca SG, Shlipak MG, Parikh CR.","Int J Nephrol. 2014;2014:708585. doi: 10.1155/2014/708585. Epub 2014 Mar 18.","Belcher JM","Int J Nephrol","2014","2014/04/24","PMC3976933","","10.1155/2014/708585"
"12419737","Another report of obstruction of a heat and moisture exchange filter","Peady CJ.","Can J Anaesth. 2002 Nov;49(9):1001. doi: 10.1007/BF03016894.","Peady CJ","Can J Anaesth","2002","2002/11/07","","","10.1007/BF03016894"
